Index_aleatoire;sexe;type_vehicule;age_vehicule;usage_vehicule;type_conduite;est_rouge;points_perdus;formule;Age;Nombre_enfants;Enfant_conduite_accompagne;Revenus;Tarif_devis
244142;M;Minivan;16;Private;z_Highly Rural/ Rural;no;0;dev_express;37;Oui;Non;[0 – 70k€] ;[0 – 300€] 
888348;M;Minivan;0;Private;Highly Urban/ Urban;no;1;dev_premium;93;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
738896;F;Van;7;Commercial;Highly Urban/ Urban;yes;0;dev_premium;25;Non;Non;[0 – 70k€] ;[300€ – 600€] 
11029;F;Sports Car;1;Commercial;Highly Urban/ Urban;no;5;dev_premium;84;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
614467;M;Pickup;1;Commercial;Highly Urban/ Urban;no;1;dev_express;20;Non;Non;[0 – 70k€] ;[0 – 300€] 
447609;M;Minivan;0;Private;z_Highly Rural/ Rural;yes;1;dev_express;68;Non;Non;[0 – 70k€] ;[0 – 300€] 
754655;F;Sports Car;1;Private;z_Highly Rural/ Rural;no;0;dev_integral;26;Non;Non;[0 – 70k€] ;[0 – 300€] 
736374;F;z_SUV;0;Private;Highly Urban/ Urban;no;5;dev_integral;47;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
567558;F;z_SUV;1;Private;Highly Urban/ Urban;no;0;dev_vip;56;Non;Non;[0 – 70k€] ;[600€ – 900€] 
28803;F;z_SUV;17;Private;Highly Urban/ Urban;no;0;dev_premium;19;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
338557;F;z_SUV;1;Private;Highly Urban/ Urban;no;0;dev_express;51;Oui;Non;[0 – 70k€] ;[0 – 300€] 
816322;M;Minivan;5;Commercial;z_Highly Rural/ Rural;yes;6;dev_integral;41;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
222515;F;z_SUV;9;Private;Highly Urban/ Urban;no;3;dev_express;68;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
669187;M;z_SUV;6;Private;z_Highly Rural/ Rural;no;2;dev_premium;7;Non;Non;[0 – 70k€] ;[300€ – 600€] 
913932;M;Sports Car;12;Private;Highly Urban/ Urban;no;0;dev_express;47;Oui;Oui;[70k€ – 140k€] ;[0 – 300€] 
407448;F;z_SUV;9;Private;Highly Urban/ Urban;no;0;dev_integral;71;Non;Non;[0 – 70k€] ;[300€ – 600€] 
85193;F;Sports Car;15;Commercial;Highly Urban/ Urban;no;0;dev_express;64;Non;Non;[0 – 70k€] ;[0 – 300€] 
117328;F;z_SUV;14;Private;Highly Urban/ Urban;no;2;dev_integral;9;Oui;Non;[70k€ – 140k€] ;[0 – 300€] 
917827;F;Minivan;15;Private;Highly Urban/ Urban;no;0;dev_integral;58;Non;Non;[140k€ – 210k€] ;[0 – 300€] 
281240;M;z_SUV;11;Private;z_Highly Rural/ Rural;no;1;dev_premium;37;Non;Non;[0 – 70k€] ;[300€ – 600€] 
180457;F;Sports Car;10;Private;Highly Urban/ Urban;no;0;dev_express;21;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
635759;F;z_SUV;8;Private;Highly Urban/ Urban;no;5;dev_express;88;Oui;Non;[0 – 70k€] ;[0 – 300€] 
126309;M;Pickup;10;Commercial;Highly Urban/ Urban;yes;0;dev_express;61;Oui;Non;[0 – 70k€] ;[0 – 300€] 
517481;F;Pickup;0;Private;Highly Urban/ Urban;yes;0;dev_premium;60;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
613661;M;z_SUV;13;Private;Highly Urban/ Urban;no;0;dev_integral;54;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
817244;F;z_SUV;15;Private;Highly Urban/ Urban;no;4;dev_express;68;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
171284;M;z_SUV;1;Private;Highly Urban/ Urban;no;1;dev_express;79;Oui;Non;[0 – 70k€] ;[0 – 300€] 
909039;F;Panel Truck;13;Commercial;Highly Urban/ Urban;yes;1;dev_integral;44;Non;Non;[140k€ – 210k€] ;[300€ – 600€] 
670811;M;Van;7;Commercial;Highly Urban/ Urban;yes;0;dev_integral;80;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
788616;F;Van;1;Private;z_Highly Rural/ Rural;yes;1;dev_integral;41;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
389897;F;Pickup;1;Commercial;Highly Urban/ Urban;yes;7;dev_integral;27;Non;Non;[0 – 70k€] ;[300€ – 600€] 
702652;F;Minivan;5;Private;Highly Urban/ Urban;no;1;dev_express;51;Oui;Non;[0 – 70k€] ;[0 – 300€] 
138288;M;Minivan;7;Private;Highly Urban/ Urban;no;0;dev_express;22;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
629917;F;Sports Car;19;Private;Highly Urban/ Urban;no;0;dev_express;50;Non;Non;[0 – 70k€] ;[0 – 300€] 
351530;F;Minivan;8;Commercial;z_Highly Rural/ Rural;no;5;dev_express;8;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
445304;M;Van;13;Private;Highly Urban/ Urban;no;0;dev_premium;51;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
608700;F;Van;9;Commercial;Highly Urban/ Urban;yes;4;dev_integral;58;Oui;Non;[0 – 70k€] ;[0 – 300€] 
841374;M;z_SUV;12;Private;Highly Urban/ Urban;no;2;dev_express;35;Non;Non;[0 – 70k€] ;[0 – 300€] 
138231;F;Van;1;Private;Highly Urban/ Urban;yes;0;dev_express;75;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
517222;F;Sports Car;7;Private;Highly Urban/ Urban;no;1;dev_express;33;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
600614;F;Minivan;16;Private;Highly Urban/ Urban;no;0;dev_integral;74;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
161769;F;Pickup;8;Private;Highly Urban/ Urban;no;0;dev_express;57;Non;Non;[0 – 70k€] ;[0 – 300€] 
254723;F;Van;5;Commercial;Highly Urban/ Urban;no;0;dev_integral;73;Oui;Non;[0 – 70k€] ;[0 – 300€] 
909889;F;Sports Car;1;Private;Highly Urban/ Urban;no;0;dev_express;82;Oui;Non;[0 – 70k€] ;[0 – 300€] 
681877;F;z_SUV;6;Private;Highly Urban/ Urban;no;0;dev_integral;6;Non;Non;[0 – 70k€] ;[0 – 300€] 
298746;M;z_SUV;1;Private;Highly Urban/ Urban;no;5;dev_express;53;Non;Non;[0 – 70k€] ;[0 – 300€] 
289093;M;Pickup;7;Private;Highly Urban/ Urban;no;0;dev_express;71;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
786673;M;Minivan;5;Private;z_Highly Rural/ Rural;no;3;dev_express;53;Non;Non;[0 – 70k€] ;[0 – 300€] 
388925;M;z_SUV;13;Private;Highly Urban/ Urban;yes;2;dev_express;74;Oui;Non;[0 – 70k€] ;[0 – 300€] 
515869;F;Pickup;3;Commercial;Highly Urban/ Urban;no;1;dev_integral;26;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
548953;F;z_SUV;9;Private;Highly Urban/ Urban;no;0;dev_integral;6;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
550948;M;z_SUV;12;Private;Highly Urban/ Urban;no;2;dev_express;36;Non;Non;[140k€ – 210k€] ;[0 – 300€] 
750946;M;Minivan;9;Private;Highly Urban/ Urban;yes;2;dev_integral;11;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
948703;F;Minivan;9;Private;z_Highly Rural/ Rural;no;2;dev_premium;82;Oui;Non;[70k€ – 140k€] ;[300€ – 600€] 
437610;M;Pickup;8;Private;Highly Urban/ Urban;no;0;dev_express;81;Non;Non;[0 – 70k€] ;[0 – 300€] 
6385;F;z_SUV;18;Private;Highly Urban/ Urban;no;1;dev_integral;31;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
731629;F;Minivan;1;Commercial;Highly Urban/ Urban;no;5;dev_express;74;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
930862;M;Panel Truck;11;Commercial;Highly Urban/ Urban;no;4;dev_premium;54;Non;Non;[0 – 70k€] ;[300€ – 600€] 
482711;F;Minivan;6;Private;Highly Urban/ Urban;no;4;dev_express;54;Non;Non;[0 – 70k€] ;[0 – 300€] 
992791;M;Minivan;1;Private;Highly Urban/ Urban;yes;1;dev_premium;63;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
554311;M;Sports Car;3;Private;z_Highly Rural/ Rural;no;0;dev_express;85;Non;Non;[0 – 70k€] ;[0 – 300€] 
186146;M;Van;8;Commercial;z_Highly Rural/ Rural;yes;0;dev_express;66;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
862986;F;z_SUV;4;Commercial;Highly Urban/ Urban;no;0;dev_express;66;Oui;Non;[0 – 70k€] ;[0 – 300€] 
625182;M;Sports Car;0;Private;z_Highly Rural/ Rural;no;1;dev_express;65;Non;Non;[0 – 70k€] ;[0 – 300€] 
516424;M;Pickup;8;Commercial;Highly Urban/ Urban;yes;2;dev_express;63;Non;Non;[0 – 70k€] ;[0 – 300€] 
365593;M;Minivan;9;Private;Highly Urban/ Urban;yes;0;dev_express;43;Non;Non;[0 – 70k€] ;[0 – 300€] 
235608;M;Minivan;17;Private;Highly Urban/ Urban;no;0;dev_premium;55;Non;Non;[0 – 70k€] ;[300€ – 600€] 
978691;F;z_SUV;1;Private;z_Highly Rural/ Rural;no;0;dev_express;24;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
758612;M;Minivan;13;Private;Highly Urban/ Urban;no;0;dev_premium;51;Non;Non;[0 – 70k€] ;[300€ – 600€] 
84691;M;Sports Car;2;Private;z_Highly Rural/ Rural;no;0;dev_integral;59;Oui;Non;[0 – 70k€] ;[0 – 300€] 
233264;M;Minivan;1;Commercial;Highly Urban/ Urban;no;3;dev_express;82;Non;Non;[0 – 70k€] ;[0 – 300€] 
718377;F;Minivan;1;Private;Highly Urban/ Urban;no;1;dev_premium;13;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
679065;F;Sports Car;1;Private;Highly Urban/ Urban;no;6;dev_premium;7;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
53573;M;Van;1;Private;Highly Urban/ Urban;yes;0;dev_express;64;Non;Non;[0 – 70k€] ;[0 – 300€] 
15245;F;Pickup;11;Private;Highly Urban/ Urban;no;4;dev_integral;71;Non;Non;[0 – 70k€] ;[0 – 300€] 
825345;F;Pickup;5;Commercial;z_Highly Rural/ Rural;yes;1;dev_integral;53;Non;Non;[0 – 70k€] ;[300€ – 600€] 
352905;M;Minivan;1;Private;Highly Urban/ Urban;no;7;dev_express;63;Non;Non;[0 – 70k€] ;[0 – 300€] 
977660;F;Minivan;6;Private;Highly Urban/ Urban;yes;0;dev_integral;38;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
544012;M;Van;8;Private;Highly Urban/ Urban;yes;1;dev_integral;44;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
448061;M;z_SUV;1;Commercial;Highly Urban/ Urban;no;0;dev_integral;21;Non;Non;[0 – 70k€] ;[300€ – 600€] 
773135;M;Pickup;12;Commercial;Highly Urban/ Urban;no;2;dev_integral;68;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
130597;F;Minivan;1;Private;Highly Urban/ Urban;no;0;dev_integral;25;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
835211;M;Minivan;11;Private;Highly Urban/ Urban;no;6;dev_integral;54;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
584827;M;Panel Truck;17;Commercial;Highly Urban/ Urban;yes;4;dev_express;12;Non;Non;[> 210k€] ;[0 – 300€] 
218855;M;Minivan;12;Private;Highly Urban/ Urban;yes;1;dev_premium;63;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
453620;M;Panel Truck;14;Commercial;Highly Urban/ Urban;yes;0;dev_integral;26;Oui;Non;[0 – 70k€] ;[0 – 300€] 
495875;F;Minivan;5;Private;Highly Urban/ Urban;no;0;dev_integral;74;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
239321;M;Minivan;12;Commercial;z_Highly Rural/ Rural;yes;1;dev_integral;42;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
786288;F;Minivan;11;Private;Highly Urban/ Urban;yes;5;dev_express;60;Oui;Non;[70k€ – 140k€] ;[0 – 300€] 
124769;M;z_SUV;9;Private;Highly Urban/ Urban;no;0;dev_premium;93;Non;Non;[0 – 70k€] ;[300€ – 600€] 
841222;M;z_SUV;9;Commercial;Highly Urban/ Urban;no;0;dev_integral;55;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
425889;M;Minivan;12;Commercial;Highly Urban/ Urban;no;0;dev_express;57;Oui;Oui;[70k€ – 140k€] ;[0 – 300€] 
327621;M;z_SUV;8;Private;Highly Urban/ Urban;no;0;dev_express;71;Oui;Non;[0 – 70k€] ;[0 – 300€] 
709350;F;Minivan;6;Commercial;Highly Urban/ Urban;no;2;dev_express;67;Oui;Non;[0 – 70k€] ;[0 – 300€] 
670913;F;z_SUV;14;Private;Highly Urban/ Urban;no;0;dev_premium;58;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
675639;F;Minivan;1;Private;z_Highly Rural/ Rural;no;0;dev_premium;53;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
634360;F;Sports Car;11;Private;z_Highly Rural/ Rural;no;0;dev_express;80;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
885589;F;Pickup;7;Private;Highly Urban/ Urban;no;0;dev_integral;64;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
127092;M;Sports Car;1;Commercial;Highly Urban/ Urban;no;2;dev_integral;11;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
470469;M;Minivan;15;Private;Highly Urban/ Urban;no;0;dev_integral;6;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
4796;M;z_SUV;13;Private;z_Highly Rural/ Rural;no;0;dev_integral;72;Non;Non;[0 – 70k€] ;[300€ – 600€] 
528963;M;Minivan;11;Private;Highly Urban/ Urban;yes;2;dev_express;59;Oui;Non;[70k€ – 140k€] ;[0 – 300€] 
17290;M;z_SUV;12;Private;Highly Urban/ Urban;no;0;dev_integral;72;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
734906;F;Pickup;11;Private;Highly Urban/ Urban;yes;0;dev_integral;50;Non;Non;[0 – 70k€] ;[300€ – 600€] 
931758;F;Van;9;Private;Highly Urban/ Urban;no;4;dev_integral;31;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
230382;M;Minivan;8;Private;Highly Urban/ Urban;no;0;dev_integral;35;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
434181;M;Minivan;1;Private;Highly Urban/ Urban;no;2;dev_integral;71;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
543194;M;Minivan;1;Commercial;z_Highly Rural/ Rural;yes;7;dev_express;19;Non;Non;[0 – 70k€] ;[0 – 300€] 
612737;M;Sports Car;0;Commercial;Highly Urban/ Urban;no;1;dev_premium;23;Non;Non;[0 – 70k€] ;[300€ – 600€] 
828095;M;Minivan;13;Private;Highly Urban/ Urban;no;1;dev_express;61;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
307944;F;Sports Car;13;Private;Highly Urban/ Urban;no;0;dev_express;71;Oui;Non;[0 – 70k€] ;[0 – 300€] 
750009;F;Minivan;9;Private;Highly Urban/ Urban;no;8;dev_vip;73;Oui;Non;[0 – 70k€] ;[600€ – 900€] 
839347;M;z_SUV;1;Private;z_Highly Rural/ Rural;no;0;dev_express;11;Oui;Non;[0 – 70k€] ;[0 – 300€] 
863839;M;Minivan;5;Private;Highly Urban/ Urban;yes;3;dev_express;58;Non;Non;[0 – 70k€] ;[0 – 300€] 
102713;F;z_SUV;9;Private;Highly Urban/ Urban;no;0;dev_integral;6;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
805550;F;Minivan;16;Private;Highly Urban/ Urban;no;0;dev_integral;93;Oui;Non;[70k€ – 140k€] ;[300€ – 600€] 
233247;M;Van;15;Commercial;Highly Urban/ Urban;yes;2;dev_integral;14;Non;Non;[0 – 70k€] ;[300€ – 600€] 
398058;M;Van;9;Commercial;Highly Urban/ Urban;no;4;dev_express;38;Oui;Oui;[70k€ – 140k€] ;[0 – 300€] 
685367;M;z_SUV;1;Commercial;Highly Urban/ Urban;no;4;dev_express;54;Oui;Non;[0 – 70k€] ;[0 – 300€] 
422821;F;Sports Car;7;Private;Highly Urban/ Urban;no;6;dev_premium;48;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
851287;M;Sports Car;9;Commercial;Highly Urban/ Urban;no;2;dev_integral;53;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
458112;F;Minivan;9;Private;Highly Urban/ Urban;no;0;dev_integral;54;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
982642;F;Pickup;12;Private;Highly Urban/ Urban;yes;0;dev_integral;8;Oui;Non;[140k€ – 210k€] ;[300€ – 600€] 
443562;M;z_SUV;15;Private;Highly Urban/ Urban;no;5;dev_premium;84;Non;Non;[0 – 70k€] ;[300€ – 600€] 
939876;M;z_SUV;0;Commercial;Highly Urban/ Urban;no;7;dev_express;89;Oui;Non;[0 – 70k€] ;[0 – 300€] 
646160;M;z_SUV;11;Private;Highly Urban/ Urban;no;2;dev_express;53;Non;Non;[0 – 70k€] ;[0 – 300€] 
22531;M;z_SUV;7;Private;Highly Urban/ Urban;no;0;dev_integral;63;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
989341;M;z_SUV;10;Private;z_Highly Rural/ Rural;no;1;dev_integral;43;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
189448;F;z_SUV;19;Private;Highly Urban/ Urban;no;0;dev_integral;74;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
583787;F;Minivan;15;Private;z_Highly Rural/ Rural;no;0;dev_express;77;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
924392;M;Minivan;10;Private;Highly Urban/ Urban;no;0;dev_integral;79;Non;Non;[0 – 70k€] ;[300€ – 600€] 
316790;F;z_SUV;5;Private;Highly Urban/ Urban;no;2;dev_express;66;Non;Non;[0 – 70k€] ;[0 – 300€] 
564161;F;Minivan;1;Private;Highly Urban/ Urban;yes;3;dev_express;63;Oui;Non;[0 – 70k€] ;[0 – 300€] 
730106;M;Minivan;4;Private;Highly Urban/ Urban;no;1;dev_express;33;Non;Non;[0 – 70k€] ;[0 – 300€] 
118523;F;Pickup;9;Commercial;z_Highly Rural/ Rural;yes;0;dev_integral;77;Oui;Non;[0 – 70k€] ;[0 – 300€] 
798729;M;Van;12;Commercial;Highly Urban/ Urban;yes;0;dev_integral;83;Oui;Oui;[140k€ – 210k€] ;[300€ – 600€] 
952542;F;Sports Car;4;Private;Highly Urban/ Urban;no;5;dev_express;70;Oui;Non;[0 – 70k€] ;[0 – 300€] 
116705;M;Pickup;15;Private;Highly Urban/ Urban;no;0;dev_integral;74;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
259148;M;Minivan;9;Commercial;z_Highly Rural/ Rural;yes;0;dev_integral;85;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
926123;M;z_SUV;1;Commercial;Highly Urban/ Urban;no;6;dev_integral;66;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
645306;M;Sports Car;8;Private;Highly Urban/ Urban;no;0;dev_integral;71;Oui;Oui;[70k€ – 140k€] ;[0 – 300€] 
962917;M;z_SUV;12;Private;Highly Urban/ Urban;no;2;dev_premium;34;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
368865;F;Minivan;12;Private;z_Highly Rural/ Rural;no;1;dev_integral;50;Oui;Oui;[140k€ – 210k€] ;[300€ – 600€] 
180695;F;Minivan;14;Private;Highly Urban/ Urban;no;0;dev_integral;73;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
450628;F;Sports Car;8;Private;z_Highly Rural/ Rural;no;1;dev_express;56;Non;Non;[0 – 70k€] ;[0 – 300€] 
464352;F;Minivan;1;Private;Highly Urban/ Urban;no;1;dev_express;53;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
988696;F;Sports Car;17;Private;Highly Urban/ Urban;no;0;dev_integral;93;Oui;Non;[70k€ – 140k€] ;[0 – 300€] 
398117;F;Pickup;4;Commercial;Highly Urban/ Urban;yes;0;dev_integral;25;Oui;Non;[0 – 70k€] ;[0 – 300€] 
939559;F;Panel Truck;0;Commercial;Highly Urban/ Urban;no;1;dev_integral;58;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
975610;F;z_SUV;11;Commercial;Highly Urban/ Urban;no;2;dev_integral;74;Non;Non;[0 – 70k€] ;[300€ – 600€] 
241923;M;Pickup;11;Private;Highly Urban/ Urban;yes;1;dev_express;41;Oui;Non;[70k€ – 140k€] ;[0 – 300€] 
876151;F;Minivan;1;Commercial;Highly Urban/ Urban;no;2;dev_integral;30;Non;Non;[0 – 70k€] ;[300€ – 600€] 
323096;M;Minivan;11;Commercial;z_Highly Rural/ Rural;no;0;dev_integral;58;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
562371;F;Minivan;20;Private;Highly Urban/ Urban;yes;0;dev_integral;52;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
62462;M;z_SUV;1;Private;Highly Urban/ Urban;no;2;dev_express;55;Non;Non;[0 – 70k€] ;[0 – 300€] 
160413;M;Pickup;0;Commercial;Highly Urban/ Urban;no;6;dev_integral;78;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
898854;F;Van;12;Commercial;Highly Urban/ Urban;no;0;dev_express;60;Non;Non;[0 – 70k€] ;[0 – 300€] 
904592;M;Sports Car;16;Private;Highly Urban/ Urban;no;0;dev_express;32;Non;Non;[0 – 70k€] ;[0 – 300€] 
180628;M;z_SUV;1;Private;z_Highly Rural/ Rural;no;0;dev_integral;65;Oui;Non;[0 – 70k€] ;[0 – 300€] 
214832;F;Van;6;Commercial;Highly Urban/ Urban;yes;0;dev_premium;57;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
55744;F;Pickup;0;Commercial;Highly Urban/ Urban;no;1;dev_express;83;Non;Non;[0 – 70k€] ;[0 – 300€] 
486887;F;Van;6;Commercial;z_Highly Rural/ Rural;no;1;dev_express;26;Oui;Oui;[0 – 70k€] ;[0 – 300€] 
835436;M;Panel Truck;13;Commercial;z_Highly Rural/ Rural;yes;0;dev_integral;55;Non;Non;[140k€ – 210k€] ;[300€ – 600€] 
751400;F;Van;10;Private;Highly Urban/ Urban;yes;0;dev_premium;87;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
100091;F;Pickup;1;Private;Highly Urban/ Urban;yes;1;dev_express;69;Non;Non;[0 – 70k€] ;[0 – 300€] 
716634;M;z_SUV;5;Commercial;Highly Urban/ Urban;no;6;dev_premium;25;Oui;Oui;[0 – 70k€] ;[300€ – 600€] 
923284;F;z_SUV;1;Private;Highly Urban/ Urban;no;0;dev_integral;67;Non;Non;[0 – 70k€] ;[300€ – 600€] 
653762;F;z_SUV;9;Private;Highly Urban/ Urban;no;0;dev_integral;22;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
988978;F;z_SUV;1;Private;Highly Urban/ Urban;no;0;dev_premium;72;Non;Non;[0 – 70k€] ;[300€ – 600€] 
399011;F;Minivan;11;Private;Highly Urban/ Urban;no;0;dev_vip;13;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
797250;M;Van;0;Commercial;Highly Urban/ Urban;yes;5;dev_express;50;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
385228;M;Sports Car;1;Private;Highly Urban/ Urban;no;3;dev_premium;8;Non;Non;[0 – 70k€] ;[300€ – 600€] 
965316;F;Sports Car;7;Private;z_Highly Rural/ Rural;no;0;dev_integral;69;Non;Non;[70k€ – 140k€] ;[300€ – 600€] 
777590;F;Panel Truck;1;Commercial;Highly Urban/ Urban;no;1;dev_premium;30;Non;Non;[0 – 70k€] ;[300€ – 600€] 
989428;F;z_SUV;15;Private;Highly Urban/ Urban;no;0;dev_integral;53;Non;Non;[140k€ – 210k€] ;[300€ – 600€] 
570984;F;Sports Car;7;Private;Highly Urban/ Urban;no;3;dev_premium;68;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
643001;F;Minivan;17;Private;Highly Urban/ Urban;no;4;dev_express;56;Oui;Non;[0 – 70k€] ;[0 – 300€] 
528387;M;Panel Truck;13;Commercial;Highly Urban/ Urban;no;2;dev_express;86;Non;Non;[70k€ – 140k€] ;[0 – 300€] 
568748;F;z_SUV;4;Private;Highly Urban/ Urban;no;0;dev_integral;51;Oui;Non;[0 – 70k€] ;[300€ – 600€] 
590971;F;Minivan;0;Commercial;z_Highly Rural/ Rural;no;0;dev_express;67;Non;Non;[0 – 70k€] ;[0 – 300€] 
